|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 3001 |04 16 59|+00 49.3|    14.9|S0-a       |      3001|MCG+00-11-040|   LENTICULAR GALAXY|
|UGC 6578 |11 36 34|+00 49.4|    15.1|DBL SYS    |      6578|MCG+00-30-000|              GALAXY|
|UGC 466  |00 43 52|+00 49.4|    15.4|S          |       466|MCG+00-03-002|              GALAXY|
|UGC 6521 |11 32 16|+00 49.4|    13.8|Sb         |      6521|MCG+00-30-005|       SPIRAL GALAXY|
|UGC 193  |00 20 22|+00 49.6|    14.5|SB0-a      |       193|MCG+00-02-004|SPIRAL GALAXY BARRED|
|UGC 194  |00 20 22|+00 49.6|    14.5|S0         |       194|MCG+00-02-005|   LENTICULAR GALAXY|
|UGC 8641 |13 39 57|+00 49.8|    13.7|S          |      8641|MCG+00-35-015|              GALAXY|
|UGC 8645 |13 40 03|+00 49.8|    13.8|S          |      8645|MCG+00-35-016|              GALAXY|
|UGC 4561 |08 43 53|+00 50.1|    15.0|S          |      4561|MCG+00-23-001|              GALAXY|
|UGC 3072 |04 31 11|+00 50.4|    18.0|DWARF      |      3072|MCG+00-12-000|        DWARF GALAXY|
|UGC 7625 |12 29 34|+00 50.4|    17.0|           |      7625|MCG+00-32-000|              GALAXY|
|UGC 450  |00 42 22|+00 50.4|    14.5|PECULR     |       450|MCG+00-02-129|              GALAXY|
|UGC 5913 |10 48 22|+00 51.1|    14.3|           |      5913|MCG+00-28-011|              GALAXY|
|UGC 3065 |04 30 47|+00 51.4|    13.8|Sb         |      3065|MCG+00-12-038|       SPIRAL GALAXY|
|UGC 419  |00 39 40|+00 51.5|    14.7|Sc/SBc     |       419|MCG+00-02-115|       SPIRAL GALAXY|
|UGC 401  |00 39 16|+00 51.5|    13.9|SBa        |       401|MCG+00-02-104|SPIRAL GALAXY BARRED|
|UGC 6284 |11 15 46|+00 51.6|    15.4|DBL SYS    |      6284|MCG+00-29-000|              GALAXY|
|UGC 8235 |13 09 33|+00 52.0|    14.4|SB0/SBa    |      8235|MCG+00-34-009|SPIRAL GALAXY BARRED|
|UGC 2418 |02 56 28|+00 52.1|    15.2|SBb/Sc     |      2418|MCG+00-08-051|SPIRAL GALAXY BARRED|
|UGC 772  |01 13 40|+00 52.9|    17.0|DWRF IR    |       772|MCG+00-04-043|        DWARF GALAXY|
|UGC 9147 |14 18 15|+00 53.2|    14.9|Sb-c       |      9147|MCG+00-36-033|       SPIRAL GALAXY|
|UGC 3256 |05 10 11|+00 53.7|    14.6|Sb/SBb     |      3256|MCG+00-14-007|       SPIRAL GALAXY|
|UGC 11790|21 41 33|+00 53.7|    15.3|Sc         |     11790|MCG+00-55-011|       SPIRAL GALAXY|
|UGC 405  |00 39 22|+00 54.5|        |SB0        |       405|MCG+00-02-110|SPIRAL GALAXY BARRED|
|UGC 406  |00 39 22|+00 54.5|    14.2|S?         |       406|MCG+00-02-107|              GALAXY|
|UGC 8474 |13 29 27|+00 54.5|    18.0|DWARF      |      8474|MCG+00-34-000|        DWARF GALAXY|
|UGC 11825|21 50 39|+00 55.1|    15.4|Sa?        |     11825|MCG+00-55-019|       SPIRAL GALAXY|
|UGC 2044 |02 33 52|+00 55.1|    15.7|SBc        |      2044|MCG+00-07-043|SPIRAL GALAXY BARRED|
|UGC 2004 |02 31 58|+00 55.2|    14.8|SBc        |      2004|MCG+00-07-036|SPIRAL GALAXY BARRED|
|UGC 317  |00 31 40|+00 55.6|    17.0|           |       317|MCG+00-02-000|              GALAXY|
|UGC 2229 |02 45 28|+00 55.6|    14.8|E-S        |      2229|MCG+00-08-006|   ELLIPTICAL GALAXY|
|UGC 693  |01 07 28|+00 56.0|    14.6|E          |       693|MCG+00-03-075|   ELLIPTICAL GALAXY|
|UGC 618  |00 59 46|+00 56.2|    15.4|Sc         |       618|MCG+00-03-049|       SPIRAL GALAXY|
|UGC 7148 |12 09 58|+00 56.3|    15.4|SB         |      7148|MCG+00-31-000|SPIRAL GALAXY BARRED|
|UGC 12503|23 19 22|+00 56.4|    15.7|S          |     12503|MCG+00-59-023|              GALAXY|
|UGC 914  |01 22 10|+00 56.7|    13.0|Sc         |       914|MCG+00-04-099|       SPIRAL GALAXY|
|UGC 10825|17 22 33|+00 57.2|    15.4|S          |     10825|MCG+00-44-000|              GALAXY|
|UGC 1981 |02 30 16|+00 57.3|    17.0|DWARF      |      1981|MCG+00-07-026|        DWARF GALAXY|
|UGC 5664 |10 27 10|+00 57.7|    15.4|S          |      5664|MCG+00-27-000|              GALAXY|
|UGC 5242 |09 47 10|+00 58.1|    16.0|DWARF      |      5242|MCG+00-25-016|        DWARF GALAXY|
|UGC 7177 |12 11 04|+00 58.3|    15.1|VY CMPT    |      7177|MCG+00-31-000|              GALAXY|
|UGC 2502 |03 02 34|+00 58.7|    16.0|S          |      2502|MCG+00-08-071|              GALAXY|
|UGC 763  |01 12 58|+00 58.9|    11.9|           |       763|MCG+00-04-036|              GALAXY|
|UGC 2292 |02 48 52|+00 59.4|    15.4|Sa         |      2292|MCG+00-08-020|       SPIRAL GALAXY|
|UGC 5660 |10 26 40|+00 59.7|    15.3|S          |      5660|MCG+00-27-000|              GALAXY|
|UGC 4432 |08 28 11|+01 00.0|    15.2|Sb-c       |      4432|MCG+00-22-012|       SPIRAL GALAXY|
|UGC 1163 |01 37 58|+01 00.2|    15.5|COMPACT    |      1163|MCG+00-05-017|              GALAXY|
|UGC 11859|21 58 09|+01 00.4|    15.6|Sb         |     11859|MCG+00-56-004|       SPIRAL GALAXY|
|UGC 9254 |14 27 21|+01 01.6|    14.8|SBb        |      9254|MCG+00-37-006|SPIRAL GALAXY BARRED|
|UGC 252  |00 26 22|+01 01.6|    16.5|Sc         |       252|MCG+00-02-026|       SPIRAL GALAXY|
|UGC 971  |01 24 46|+01 01.6|    18.0|DWARF      |       971|MCG+00-04-000|        DWARF GALAXY|
|UGC 8066 |12 57 03|+01 01.8|    17.0|DWRF SP    |      8066|MCG+00-33-000|        DWARF GALAXY|
|UGC 4613 |08 48 41|+01 01.9|    14.9|SBb        |      4613|MCG+00-23-003|SPIRAL GALAXY BARRED|
|UGC 4956 |09 20 05|+01 02.3|    14.1|E          |      4956|MCG+00-24-007|   ELLIPTICAL GALAXY|
|UGC 4224 |08 06 23|+01 02.3|    14.3|S0         |      4224|MCG+00-21-004|   LENTICULAR GALAXY|
|UGC 3054 |04 28 11|+01 02.6|    17.0|           |      3054|MCG+00-12-000|              GALAXY|
|UGC 951  |01 24 10|+01 02.6|    15.7|DISTRBD    |       951|MCG+00-04-115|              GALAXY|
|UGC 12810|23 51 10|+01 02.7|    14.4|Sb         |     12810|MCG+00-60-055|       SPIRAL GALAXY|
|UGC 11724|21 20 39|+01 02.8|    15.3|Sc         |     11724|MCG+00-54-014|       SPIRAL GALAXY|
|UGC 5355 |09 58 28|+01 03.6|    16.0|Sc         |      5355|MCG+00-26-000|       SPIRAL GALAXY|
|UGC 3136 |04 41 53|+01 03.7|    15.3|Sb         |      3136|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 4610 |08 48 23|+01 03.9|    15.7|Sb-c       |      4610|MCG+00-23-000|       SPIRAL GALAXY|
|UGC 695  |01 07 52|+01 04.0|    15.4|PECULR     |       695|MCG+00-04-003|              GALAXY|
|UGC 2584 |03 11 41|+01 04.3|    18.0|DWARF?     |      2584|MCG+00-09-000|        DWARF GALAXY|
|UGC 11606|20 39 45|+01 04.7|    15.3|Sc         |     11606|MCG+00-52-045|       SPIRAL GALAXY|
|UGC 1169 |01 38 52|+01 05.2|    14.2|S0         |      1169|MCG+00-05-021|   LENTICULAR GALAXY|
|UGC 2523 |03 05 05|+01 05.6|    15.3|Sc         |      2523|MCG+00-08-085|       SPIRAL GALAXY|
|UGC 2147 |02 39 22|+01 05.9|    13.2|Sa         |      2147|MCG+00-07-073|       SPIRAL GALAXY|
|UGC 12220|22 52 27|+01 06.0|    14.1|Sa         |     12220|MCG+00-58-007|       SPIRAL GALAXY|
|UGC 2404 |02 55 53|+01 06.1|    16.5|Sc         |      2404|MCG+00-08-000|       SPIRAL GALAXY|
|UGC 3091 |04 33 53|+01 06.2|    15.4|Sc         |      3091|MCG+00-12-045|       SPIRAL GALAXY|
|UGC 9140 |14 17 33|+01 07.2|    16.5|Sc         |      9140|MCG+00-36-000|       SPIRAL GALAXY|
|UGC 507  |00 49 40|+01 07.3|    15.2|Sc         |       507|MCG+00-03-009|       SPIRAL GALAXY|
|UGC 5261 |09 49 23|+01 08.0|    14.2|           |      5261|MCG+00-25-020|              GALAXY|
|UGC 9779 |15 14 45|+01 08.9|    15.2|S0-a       |      9779|MCG+00-39-012|   LENTICULAR GALAXY|
|UGC 5032 |09 26 41|+01 09.0|    15.7|Sa-b       |      5032|MCG+00-24-000|       SPIRAL GALAXY|
|UGC 4571 |08 44 53|+01 09.1|    15.7|Sc         |      4571|MCG+00-23-000|       SPIRAL GALAXY|
|UGC 2996 |04 15 35|+01 09.4|    15.3|S0-a       |      2996|MCG+00-11-034|   LENTICULAR GALAXY|
|UGC 1907 |02 26 28|+01 09.5|    14.7|E          |      1907|MCG+00-07-013|   ELLIPTICAL GALAXY|
|UGC 11559|20 26 09|+01 09.9|    14.5|S0         |     11559|MCG+00-52-007|   LENTICULAR GALAXY|
|UGC 1978 |02 29 58|+01 10.3|    15.0|(S0)       |      1978|MCG+00-07-025|   LENTICULAR GALAXY|
|UGC 9229 |14 24 39|+01 10.5|    14.9|Sb         |      9229|MCG+00-37-004|       SPIRAL GALAXY|
|UGC 7833 |12 40 27|+01 10.5|    13.7|Sa         |      7833|MCG+00-32-034|       SPIRAL GALAXY|
|UGC 790  |01 14 40|+01 10.9|    15.0|Sc         |       790|MCG+00-04-053|       SPIRAL GALAXY|
|UGC 2872 |03 49 05|+01 11.1|    17.0|           |      2872|MCG+00-10-019|              GALAXY|
|UGC 3080 |04 31 53|+01 11.4|    14.9|Sc         |      3080|MCG+00-12-042|       SPIRAL GALAXY|
|UGC 5606 |10 22 22|+01 11.8|    14.5|S          |      5606|MCG+00-27-003|              GALAXY|
|UGC 9782 |15 14 57|+01 11.9|    16.5|Sc         |      9782|MCG+00-39-000|       SPIRAL GALAXY|
|UGC 1665 |02 10 22|+01 12.1|    18.0|DWARF      |      1665|MCG+00-06-000|        DWARF GALAXY|
|UGC 9678 |15 04 09|+01 12.3|    13.1|E          |      9678|MCG+00-38-020|   ELLIPTICAL GALAXY|
|UGC 12513|23 19 52|+01 12.4|    16.0|S          |     12513|MCG+00-59-000|              GALAXY|
|UGC 4310 |08 17 17|+01 12.7|    15.3|S IV       |      4310|MCG+00-21-011|              GALAXY|
|UGC 823  |01 16 34|+01 12.8|    18.0|DWRF SP    |       823|MCG+00-04-000|        DWARF GALAXY|
|UGC 12225|22 52 51|+01 13.0|    14.9|Sa         |     12225|MCG+00-58-009|       SPIRAL GALAXY|
|UGC 6519 |11 32 10|+01 13.4|    15.6|Sc         |      6519|MCG+00-30-000|       SPIRAL GALAXY|
|UGC 12690|23 35 40|+01 13.6|    17.0|DWARF      |     12690|MCG+00-60-015|        DWARF GALAXY|
|UGC 2162 |02 40 23|+01 13.8|    18.0|DWRF IR    |      2162|MCG+00-07-077|        DWARF GALAXY|
|UGC 1760 |02 17 04|+01 13.9|    14.2|S0-a       |      1760|MCG+00-06-060|   LENTICULAR GALAXY|
|UGC 676  |01 06 16|+01 14.0|    15.6|S          |       676|MCG+00-03-000|              GALAXY|
|UGC 2005 |02 31 59|+01 14.2|    14.8|(E)        |      2005|MCG+00-07-035|   ELLIPTICAL GALAXY|
|UGC 9732 |15 08 15|+01 14.6|    14.7|SBb        |      9732|MCG+00-93-005|SPIRAL GALAXY BARRED|
|UGC 12729|23 40 28|+01 14.6|    15.2|S0-a       |     12729|MCG+00-60-029|   LENTICULAR GALAXY|
|UGC 3192 |04 52 47|+01 14.9|    14.6|E-S0       |      3192|MCG+00-13-020|   ELLIPTICAL GALAXY|
|UGC 1994 |02 31 11|+01 15.3|    14.2|S0         |      1994|MCG+00-07-028|   LENTICULAR GALAXY|
|UGC 6903 |11 55 40|+01 15.3|    14.1|SBc        |      6903|MCG+00-31-002|SPIRAL GALAXY BARRED|
|UGC 5667 |10 27 28|+01 15.7|    14.9|DBL SYS    |      5667|MCG+00-27-018|              GALAXY|
|UGC 8020 |12 53 21|+01 15.7|    13.3|Sc         |      8020|MCG+00-33-017|       SPIRAL GALAXY|
|UGC 2638 |03 17 05|+01 16.0|    16.0|Sa-b       |      2638|MCG+00-09-042|       SPIRAL GALAXY|
|UGC 9514 |14 46 33|+01 16.5|    15.2|S0         |      9514|MCG+00-38-000|   LENTICULAR GALAXY|
|UGC 1402 |01 55 58|+01 16.7|    14.9|SBb        |      1402|MCG+00-06-001|SPIRAL GALAXY BARRED|
|UGC 747  |01 11 22|+01 16.9|    15.7|           |       747|MCG+00-04-028|              GALAXY|
|UGC 874  |01 20 46|+01 17.7|    15.5|S0?        |       874|MCG+00-04-089|   LENTICULAR GALAXY|
|UGC 7214 |12 12 52|+01 18.3|    12.8|S0         |      7214|MCG+00-31-038|   LENTICULAR GALAXY|
|UGC 8534 |13 33 33|+01 18.6|    15.2|SBc        |      8534|MCG+00-35-000|SPIRAL GALAXY BARRED|
|UGC 3287 |05 19 17|+01 19.0|    14.7|S          |      3287|MCG+00-14-000|              GALAXY|
|UGC 2711 |03 23 29|+01 19.6|    15.7|SB:b       |      2711|MCG+00-09-075|SPIRAL GALAXY BARRED|
|UGC 11789|21 41 03|+01 19.7|    14.9|Sb         |     11789|MCG+00-55-010|       SPIRAL GALAXY|
|UGC 3194 |04 52 59|+01 19.9|    15.4|SBb        |      3194|MCG+00-13-022|SPIRAL GALAXY BARRED|
|UGC 749  |01 11 34|+01 19.9|    14.2|S-IRR      |       749|MCG+00-04-030|              GALAXY|
|UGC 1995 |02 31 23|+01 20.2|    14.6|Sc         |      1995|MCG+00-07-030|       SPIRAL GALAXY|
|UGC 1130 |01 34 58|+01 20.3|    15.6|S          |      1130|MCG+00-05-011|              GALAXY|
|UGC 709  |01 08 34|+01 21.0|    16.0|           |       709|MCG+00-04-009|              GALAXY|
|UGC 2429 |02 57 11|+01 21.0|    16.0|IRR        |      2429|MCG+00-08-055|    IRREGULAR GALAXY|
|UGC 2062 |02 34 35|+01 21.1|    15.0|Sb-c       |      2062|MCG+00-07-046|       SPIRAL GALAXY|
|UGC 2051 |02 34 05|+01 21.1|    14.4|S0         |      2051|MCG+00-07-044|   LENTICULAR GALAXY|
|UGC 496  |00 48 28|+01 21.4|    14.6|DBL SYS    |       496|MCG+00-03-007|              GALAXY|
|UGC 7873 |12 42 39|+01 21.6|    15.3|Sc         |      7873|MCG+00-33-001|       SPIRAL GALAXY|
|UGC 890  |01 21 10|+01 21.7|    14.3|Sb         |       890|MCG+00-04-093|       SPIRAL GALAXY|
|UGC 12857|23 56 52|+01 21.7|    14.7|S          |     12857|MCG+00-01-009|              GALAXY|
|UGC 2679 |03 20 05|+01 21.8|    15.4|Sb-c       |      2679|MCG+00-09-060|       SPIRAL GALAXY|
|UGC 2913 |03 58 59|+01 22.5|    16.0|SBa        |      2913|MCG+00-11-003|SPIRAL GALAXY BARRED|
|UGC 7806 |12 38 39|+01 22.5|    15.2|Sc         |      7806|MCG+00-32-030|       SPIRAL GALAXY|
|UGC 2210 |02 43 41|+01 22.7|    12.5|SBc        |      2210|MCG+00-08-001|SPIRAL GALAXY BARRED|
|UGC 2120 |02 38 05|+01 22.9|    15.1|SB:b-c     |      2120|MCG+00-07-064|SPIRAL GALAXY BARRED|
|UGC 12232|22 53 51|+01 23.0|    14.9|SBa        |     12232|MCG+00-58-011|SPIRAL GALAXY BARRED|
|UGC 11577|20 30 39|+01 23.1|    14.6|S          |     11577|MCG+00-52-025|              GALAXY|
|UGC 563  |00 55 04|+01 23.2|    15.1|S          |       563|MCG+00-03-024|              GALAXY|
|UGC 11596|20 35 51|+01 23.4|    16.0|S          |     11596|MCG+00-52-039|              GALAXY|
|UGC 7841 |12 41 15|+01 23.5|    14.3|           |      7841|MCG+00-32-035|              GALAXY|
|UGC 8566 |13 35 21|+01 24.7|    14.6|SBb        |      8566|MCG+00-35-010|SPIRAL GALAXY BARRED|
|UGC 9751 |15 10 56|+01 25.7|    15.6|Sc         |      9751|MCG+00-39-000|       SPIRAL GALAXY|
|UGC 875  |01 20 46|+01 25.7|    15.2|Sc         |       875|MCG+00-04-090|       SPIRAL GALAXY|
|UGC 11553|20 24 50|+01 25.8|    16.0|Sc         |     11553|MCG+00-52-005|       SPIRAL GALAXY|
|UGC 9787 |15 15 44|+01 26.0|    15.4|           |      9787|MCG+00-39-015|              GALAXY|
|UGC 12452|23 15 03|+01 26.4|    15.7|Sc         |     12452|MCG+00-59-012|       SPIRAL GALAXY|
|UGC 12560|23 22 51|+01 26.5|    14.5|S          |     12560|MCG+00-59-035|              GALAXY|
|UGC 11770|21 35 03|+01 27.4|    15.6|S          |     11770|MCG+00-55-006|              GALAXY|
|UGC 7801 |12 38 09|+01 27.5|    13.4|E          |      7801|MCG+00-32-028|   ELLIPTICAL GALAXY|
|UGC 7807 |12 38 39|+01 27.5|    15.3|S          |      7807|MCG+00-32-000|              GALAXY|
|UGC 7991 |12 50 39|+01 27.7|    14.8|Sc         |      7991|MCG+00-33-014|       SPIRAL GALAXY|
|UGC 12508|23 19 39|+01 28.4|    14.5|S          |     12508|MCG+00-59-024|              GALAXY|
|UGC 257  |00 26 52|+01 28.6|    16.0|           |       257|MCG+00-02-000|              GALAXY|
|UGC 1725 |02 14 29|+01 29.0|    16.5|Sc-IRR     |      1725|MCG+00-06-055|       SPIRAL GALAXY|
|UGC 7184 |12 11 22|+01 29.3|    14.9|SBc        |      7184|MCG+00-31-037|SPIRAL GALAXY BARRED|
|UGC 7394 |12 20 28|+01 29.4|    15.2|Sc         |      7394|MCG+00-32-000|       SPIRAL GALAXY|
|UGC 322  |00 32 34|+01 29.5|    16.5|Sc         |       322|MCG+00-02-067|       SPIRAL GALAXY|
|UGC 1006 |01 25 52|+01 29.6|    15.3|S0-a       |      1006|MCG+00-04-000|   LENTICULAR GALAXY|
|UGC 2158 |02 40 05|+01 30.9|    14.4|Sa         |      2158|MCG+00-07-076|       SPIRAL GALAXY|
|UGC 1600 |02 06 35|+01 31.3|    17.0|Sc         |      1600|MCG+00-06-031|       SPIRAL GALAXY|
|UGC 11584|20 31 50|+01 32.2|    15.7|Sc         |     11584|MCG+00-52-031|       SPIRAL GALAXY|
|UGC 9715 |15 07 14|+01 32.5|    13.6|SBb        |      9715|MCG+00-39-002|SPIRAL GALAXY BARRED|
|UGC 4291 |08 14 47|+01 32.8|    15.6|Sb-c       |      4291|MCG+00-21-000|       SPIRAL GALAXY|
|UGC 2152 |02 39 41|+01 32.9|    14.5|Sa         |      2152|MCG+00-07-075|       SPIRAL GALAXY|
|UGC 2085 |02 36 05|+01 33.0|    15.7|Sc         |      2085|MCG+00-07-049|       SPIRAL GALAXY|
|UGC 12525|23 20 27|+01 33.4|    15.1|TRP SYS    |     12525|MCG+00-59-027|              GALAXY|
|UGC 8078 |12 58 03|+01 33.8|    12.9|Sb         |      8078|MCG+00-33-025|       SPIRAL GALAXY|
|UGC 5311 |09 53 41|+01 33.8|    12.4|Sc         |      5311|MCG+00-25-031|       SPIRAL GALAXY|
|UGC 817  |01 16 04|+01 33.8|    15.0|Sb/SBb     |       817|MCG+00-04-065|       SPIRAL GALAXY|
|UGC 3238 |05 03 35|+01 34.2|    13.5|Sc         |      3238|MCG+00-13-067|       SPIRAL GALAXY|
|UGC 7057 |12 04 22|+01 34.3|    14.6|S          |      7057|MCG+00-31-027|              GALAXY|
|UGC 9706 |15 06 32|+01 34.5|    11.9|E          |      9706|MCG+00-38-025|   ELLIPTICAL GALAXY|
|UGC 11131|18 10 20|+01 34.7|    15.7|           |     11131|MCG+00-46-003|              GALAXY|
|UGC 3208 |04 56 17|+01 35.7|    15.6|Sc         |      3208|MCG+00-13-038|       SPIRAL GALAXY|
|UGC 9693 |15 05 26|+01 36.4|    13.9|S0         |      9693|MCG+00-38-023|   LENTICULAR GALAXY|
|UGC 9700 |15 06 02|+01 36.4|    13.8|E          |      9700|MCG+00-38-024|   ELLIPTICAL GALAXY|
|UGC 2535 |03 06 05|+01 36.6|    18.0|DWRF IR    |      2535|MCG+00-08-000|        DWARF GALAXY|
|UGC 3198 |04 54 18|+01 37.8|    15.0|E          |      3198|MCG+00-13-027|   ELLIPTICAL GALAXY|
|UGC 6057 |10 58 16|+01 37.9|    14.9|TRP SYS    |      6057|MCG+00-28-024|              GALAXY|
|UGC 12295|23 00 21|+01 38.1|    15.5|Sc         |     12295|MCG+00-58-019|       SPIRAL GALAXY|
|UGC 11505|20 02 26|+01 38.4|    15.2|S          |     11505|MCG+00-51-005|              GALAXY|
|UGC 10465|16 36 44|+01 39.0|    14.7|Sb-c       |     10465|MCG+00-42-006|       SPIRAL GALAXY|
|UGC 711  |01 08 40|+01 39.0|    14.8|Sc         |       711|MCG+00-04-008|       SPIRAL GALAXY|
|UGC 7824 |12 39 51|+01 39.5|    15.5|           |      7824|MCG+00-32-000|              GALAXY|
|UGC 4480 |08 34 29|+01 39.6|    14.7|SBb+CMP    |      4480|MCG+00-22-017|SPIRAL GALAXY BARRED|
|UGC 3199 |04 54 18|+01 39.8|    15.5|SBb        |      3199|MCG+00-13-026|SPIRAL GALAXY BARRED|
|UGC 5228 |09 46 05|+01 40.1|    14.1|SB         |      5228|MCG+00-25-014|SPIRAL GALAXY BARRED|
|UGC 341  |00 34 28|+01 40.5|    16.0|S          |       341|MCG+00-02-076|              GALAXY|
|UGC 9760 |15 12 02|+01 40.8|    14.9|Sc         |      9760|MCG+00-39-011|       SPIRAL GALAXY|
|UGC 2121 |02 37 59|+01 40.9|    15.0|Sc         |      2121|MCG+00-07-062|       SPIRAL GALAXY|
|UGC 8236 |13 09 33|+01 41.0|    13.5|SBb        |      8236|MCG+00-34-010|SPIRAL GALAXY BARRED|
|UGC 9655 |15 01 08|+01 41.2|    12.5|E          |      9655|MCG+00-38-016|   ELLIPTICAL GALAXY|
|UGC 9493 |14 44 26|+01 41.4|    13.2|Sb         |      9493|MCG+00-38-003|       SPIRAL GALAXY|
|UGC 12770|23 45 34|+01 41.7|    14.8|S0-a       |     12770|MCG+00-60-044|   LENTICULAR GALAXY|
|UGC 3049 |04 26 53|+01 41.7|    15.4|Sb-c       |      3049|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 11810|21 46 57|+01 41.9|    14.7|Sb         |     11810|MCG+00-55-015|       SPIRAL GALAXY|
|UGC 1741 |02 15 35|+01 41.9|    15.1|SBb-c      |      1741|MCG+00-06-057|SPIRAL GALAXY BARRED|
|UGC 5797 |10 39 22|+01 42.4|    14.7|IRR        |      5797|MCG+00-27-038|    IRREGULAR GALAXY|
|UGC 358  |00 36 10|+01 42.5|    15.3|S          |       358|MCG+00-02-088|              GALAXY|
|UGC 10133|16 01 32|+01 42.7|    14.4|Sc/SBc     |     10133|MCG+00-41-002|       SPIRAL GALAXY|
|UGC 3083 |04 32 18|+01 43.3|    16.5|Sc         |      3083|MCG+00-12-000|       SPIRAL GALAXY|
|UGC 9215 |14 23 26|+01 43.4|    13.6|SBc        |      9215|MCG+00-37-002|SPIRAL GALAXY BARRED|
|UGC 4491 |08 35 47|+01 43.6|    13.9|Sa-b       |      4491|MCG+00-22-022|       SPIRAL GALAXY|
|UGC 962  |01 24 34|+01 43.6|    12.9|SBb        |       962|MCG+00-04-118|SPIRAL GALAXY BARRED|
|UGC 6854 |11 52 46|+01 44.3|    14.4|SB         |      6854|MCG+00-30-033|SPIRAL GALAXY BARRED|
|UGC 5783 |10 38 04|+01 44.4|    15.0|SBb        |      5783|MCG+00-27-033|SPIRAL GALAXY BARRED|
|UGC 992  |01 25 28|+01 44.6|    13.1|E          |       992|MCG+00-04-131|   ELLIPTICAL GALAXY|
|UGC 8581 |13 35 57|+01 44.7|    16.0|DBL SYS    |      8581|MCG+00-35-000|              GALAXY|
|UGC 2124 |02 38 11|+01 44.9|    13.5|SBa        |      2124|MCG+00-07-066|SPIRAL GALAXY BARRED|
|UGC 12309|23 01 27|+01 45.1|    13.9|E          |     12309|MCG+00-58-020|   ELLIPTICAL GALAXY|
|UGC 11591|20 33 14|+01 45.3|    15.3|S          |     11591|MCG+00-52-034|              GALAXY|
|UGC 2992 |04 13 41|+01 45.6|    15.4|DBL SYS    |      2992|MCG+00-11-000|              GALAXY|
|UGC 2518 |03 04 17|+01 45.7|    15.6|Sc         |      2518|MCG+00-08-081|       SPIRAL GALAXY|
|UGC 2199 |02 43 17|+01 45.7|    14.8|S0-a       |      2199|MCG+00-07-086|   LENTICULAR GALAXY|
|UGC 1746 |02 15 53|+01 45.9|    15.2|Sc         |      1746|MCG+00-06-058|       SPIRAL GALAXY|
|UGC 3079 |04 31 48|+01 46.4|    15.7|S          |      3079|MCG+00-12-040|              GALAXY|
|UGC 9744 |15 09 56|+01 46.6|    15.3|SBa-b      |      9744|MCG+00-39-000|SPIRAL GALAXY BARRED|
|UGC 7063 |12 04 40|+01 47.3|    14.5|E-S0       |      7063|MCG+00-31-031|   ELLIPTICAL GALAXY|
|UGC 2010 |02 32 11|+01 48.2|    14.3|SBb        |      2010|MCG+00-07-037|SPIRAL GALAXY BARRED|
|UGC 5878 |10 46 16|+01 49.2|    13.6|Sc         |      5878|MCG+00-28-006|       SPIRAL GALAXY|
|UGC 2009 |02 32 11|+01 49.2|    16.0|S          |      2009|MCG+00-07-038|              GALAXY|
|UGC 9661 |15 02 02|+01 49.2|    15.0|           |      9661|MCG+00-38-018|              GALAXY|
|UGC 3171 |04 47 42|+01 49.3|    15.2|SB:c       |      3171|MCG+00-13-012|SPIRAL GALAXY BARRED|
|UGC 6769 |11 47 46|+01 49.3|    15.0|SB:a-b     |      6769|MCG+00-30-023|SPIRAL GALAXY BARRED|
|UGC 791  |01 14 40|+01 49.9|    15.0|SBa-b      |       791|MCG+00-04-052|SPIRAL GALAXY BARRED|
|UGC 721  |01 09 34|+01 50.0|    15.6|S          |       721|MCG+00-04-014|              GALAXY|
|UGC 3023 |04 22 00|+01 50.0|    14.9|SB0        |      3023|MCG+00-12-016|SPIRAL GALAXY BARRED|
|UGC 1863 |02 24 29|+01 50.5|    15.3|Sc         |      1863|MCG+00-07-010|       SPIRAL GALAXY|
|UGC 8521 |13 32 33|+01 50.6|    14.5|SBa-b      |      8521|MCG+00-35-006|SPIRAL GALAXY BARRED|
|UGC 4421 |08 27 24|+01 51.1|    15.3|Sb/SBb     |      4421|MCG+00-22-000|       SPIRAL GALAXY|
|UGC 468  |00 43 58|+01 51.4|    14.5|Sc         |       468|MCG+00-03-003|       SPIRAL GALAXY|
|UGC 648  |01 03 34|+01 53.1|    15.6|S          |       648|MCG+00-03-062|              GALAXY|
|UGC 9645 |14 59 56|+01 53.1|    12.9|Sb         |      9645|MCG+00-38-014|       SPIRAL GALAXY|
|UGC 1627 |02 08 05|+01 53.2|    14.9|S          |      1627|MCG+00-06-041|              GALAXY|
|UGC 4494 |08 36 06|+01 53.6|    15.2|Sa-b       |      4494|MCG+00-22-000|       SPIRAL GALAXY|
|UGC 3211 |04 57 18|+01 53.6|    15.3|Sc         |      3211|MCG+00-13-044|       SPIRAL GALAXY|
|UGC 6067 |10 59 10|+01 53.9|    15.2|TRP SYS    |      6067|MCG+00-28-025|              GALAXY|
|UGC 12336|23 04 09|+01 54.2|    15.2|E-S0       |     12336|MCG+00-58-025|   ELLIPTICAL GALAXY|
|UGC 7042 |12 03 58|+01 54.3|    15.4|S          |      7042|MCG+00-31-026|              GALAXY|
