|name     |ra      |dec     |phot_mag|hubble_type|ugc_number|mcg          |class               |
|UGC 1044 |01 27 45|-01 52.5|    13.8|E          |      1044|MCG+00-04-154|   ELLIPTICAL GALAXY|
|UGC 11657|20 59 47|-01 52.3|    14.4|DBL SYS    |     11657|MCG+00-53-014|              GALAXY|
|UGC 11658|20 59 47|-01 52.3|    14.4|DBL SYS    |     11658|MCG+00-53-015|              GALAXY|
|UGC 2680 |03 20 08|-01 52.2|    14.9|PECULR?    |      2680|MCG+00-09-061|              GALAXY|
|UGC 3106 |04 37 08|-01 52.0|    15.6|Sa-b       |      3106|MCG+00-12-057|       SPIRAL GALAXY|
|UGC 4735 |09 01 20|-01 51.8|    14.9|S          |      4735|MCG+00-23-019|              GALAXY|
|UGC 7763 |12 35 52|-01 51.5|    15.6|S          |      7763|MCG+00-32-000|              GALAXY|
|UGC 2119 |02 37 56|-01 51.0|    14.5|SBb        |      2119|MCG+00-07-061|SPIRAL GALAXY BARRED|
|UGC 12466|23 16 04|-01 50.6|    14.9|SBb        |     12466|MCG+00-59-015|SPIRAL GALAXY BARRED|
|UGC 12521|23 20 16|-01 50.6|    14.4|Sc         |     12521|MCG+00-59-026|       SPIRAL GALAXY|
|UGC 4489 |08 35 32|-01 50.4|    15.2|COMPACT    |      4489|MCG+00-22-021|              GALAXY|
|UGC 9469 |14 41 41|-01 49.8|    15.7|DWARF      |      9469|MCG+00-37-026|        DWARF GALAXY|
|UGC 9839 |15 25 17|-01 49.5|    15.4|S          |      9839|MCG+00-39-000|              GALAXY|
|UGC 3133 |04 41 32|-01 49.3|    13.6|E-S0       |      3133|MCG+00-12-069|   ELLIPTICAL GALAXY|
|UGC 2649 |03 17 38|-01 49.1|    14.5|S0         |      2649|MCG+00-09-048|   LENTICULAR GALAXY|
|UGC 2106 |02 37 20|-01 49.0|    15.4|S          |      2106|MCG+00-07-000|              GALAXY|
|UGC 1060 |01 28 57|-01 48.5|    15.7|S          |      1060|MCG+00-04-000|              GALAXY|
|UGC 271  |00 27 51|-01 48.4|    13.8|Sc         |       271|MCG+00-02-038|       SPIRAL GALAXY|
|UGC 11685|21 09 17|-01 47.8|    15.0|S          |     11685|MCG+00-54-001|              GALAXY|
|UGC 9551 |14 50 41|-01 47.3|    15.6|           |      9551|MCG+00-38-008|              GALAXY|
|UGC 10394|16 27 54|-01 46.6|    15.3|Sc         |     10394|MCG+00-42-000|       SPIRAL GALAXY|
|UGC 12659|23 32 52|-01 46.4|    15.6|Sc         |     12659|MCG+00-60-002|       SPIRAL GALAXY|
|UGC 264  |00 27 15|-01 46.4|    14.9|COMPACT    |       264|MCG+00-02-032|              GALAXY|
|UGC 259  |00 27 03|-01 46.4|    15.0|SB0        |       259|MCG+00-02-027|SPIRAL GALAXY BARRED|
|UGC 5289 |09 51 33|-01 46.1|    16.0|DBL SYS    |      5289|MCG+00-25-000|              GALAXY|
|UGC 584  |00 56 33|-01 45.8|    14.1|E-S0       |       584|MCG+00-03-035|   ELLIPTICAL GALAXY|
|UGC 4804 |09 08 38|-01 45.2|    15.2|SBb-c      |      4804|MCG+00-24-002|SPIRAL GALAXY BARRED|
|UGC 736  |01 10 51|-01 45.1|    15.5|Sc         |       736|MCG+00-04-025|       SPIRAL GALAXY|
|UGC 726  |01 09 57|-01 45.0|    15.1|DISTRBD    |       726|MCG+00-04-018|              GALAXY|
|UGC 9939 |15 37 53|-01 44.8|    15.5|(S0)       |      9939|MCG+00-40-004|   LENTICULAR GALAXY|
|UGC 505  |00 49 27|-01 44.7|    15.1|S          |       505|MCG+00-03-008|              GALAXY|
|UGC 12656|23 32 40|-01 44.4|    15.5|S          |     12656|MCG+00-60-001|              GALAXY|
|UGC 784  |01 14 09|-01 44.1|    15.0|Sb         |       784|MCG+00-04-047|       SPIRAL GALAXY|
|UGC 2332 |02 50 44|-01 43.7|    13.7|S          |      2332|MCG+00-08-030|              GALAXY|
|UGC 1055 |01 28 33|-01 43.5|    15.1|SBa        |      1055|MCG+00-04-160|SPIRAL GALAXY BARRED|
|UGC 8485 |13 30 04|-01 43.5|    13.6|S          |      8485|MCG+00-34-039|              GALAXY|
|UGC 767  |01 13 09|-01 43.1|    15.7|S          |       767|MCG+00-04-041|              GALAXY|
|UGC 11622|20 44 41|-01 43.1|    15.2|SB         |     11622|MCG+00-53-000|SPIRAL GALAXY BARRED|
|UGC 2412 |02 56 02|-01 42.9|    16.5|Sc         |      2412|MCG+00-08-000|       SPIRAL GALAXY|
|UGC 476  |00 46 03|-01 42.6|    12.9|S          |       476|MCG+00-03-005|              GALAXY|
|UGC 9968 |15 41 11|-01 42.6|    15.2|Sb         |      9968|MCG+00-40-006|       SPIRAL GALAXY|
|UGC 439  |00 41 27|-01 42.6|    14.4|Sa         |       439|MCG+00-02-125|       SPIRAL GALAXY|
|UGC 856  |01 19 39|-01 42.3|    16.5|           |       856|MCG+00-04-000|              GALAXY|
|UGC 8067 |12 57 10|-01 42.2|    14.3|S          |      8067|MCG+00-33-022|              GALAXY|
|UGC 9034 |14 08 11|-01 42.2|    14.7|Sb         |      9034|MCG+00-36-019|       SPIRAL GALAXY|
|UGC 626  |01 00 39|-01 41.9|    15.0|Sc         |       626|MCG+00-03-052|       SPIRAL GALAXY|
|UGC 2650 |03 17 38|-01 41.1|    15.6|Sa-b       |      2650|MCG+00-09-046|       SPIRAL GALAXY|
|UGC 2113 |02 37 50|-01 41.0|    16.5|           |      2113|MCG+00-07-000|              GALAXY|
|UGC 8487 |13 30 10|-01 40.5|    13.7|Sb         |      8487|MCG+00-34-041|       SPIRAL GALAXY|
