|name          |ra      |dec     |maj_axis|mag    |cat_num  |cdec     |cra     |
|MCG+00-02-094 |00 37 34|+00 16.5|    6.00|   15.0|         |+001629.5|003733.7|
|MCG+00-02-095 |00 38 04|+02 44.5|   16.00|   13.4|NGC  182 |+024429.1|003804.2|
|MCG+00-02-096 |00 38 19|+00 06.5|    4.00|   16.0|         |+000629.0|003818.7|
|MCG+00-02-097 |00 38 18|-00 56.5|    6.00|   16.0|         |-005631.0|003818.5|
|MCG+00-02-098 |00 38 22|+03 11.5|   10.00|   14.0|NGC  186 |+031128.9|003822.3|
|MCG+00-02-099 |00 38 22|+01 58.5|    5.00|   15.0|         |+015828.9|003822.0|
|MCG+00-02-100 |00 38 24|-00 52.5|    6.00|   15.0|         |-005231.1|003824.5|
|MCG+00-02-101 |00 38 25|-00 00.5|    7.00|   15.5|         |-000031.1|003824.7|
|MCG+00-02-102 |00 38 52|-00 47.5|    5.00|   16.0|         |-004731.4|003851.5|
|MCG+00-02-103 |00 39 13|+03 21.5|    0.00|   13.0|NGC  193 |+032128.3|003913.3|
|MCG+00-02-104 |00 39 13|+00 51.5|   17.00|   13.5|NGC  192 |+005128.3|003912.8|
|MCG+00-02-105 |00 39 16|+03 02.5|   11.00|   13.3|NGC  194 |+030228.3|003916.2|
|MCG+00-02-106 |00 39 16|+02 27.5|    9.00|   15.0|IC   40  |+022728.3|003916.1|
|MCG+00-02-107 |00 39 16|+00 54.5|   12.00|   14.0|NGC  196 |+005428.3|003915.8|
|MCG+00-02-108 |00 39 15|-02 08.5|    8.00|   15.0|         |-020831.7|003915.2|
|MCG+00-02-109 |00 39 19|+02 47.5|    9.00|   13.0|NGC  198 |+024728.2|003919.2|
|MCG+00-02-110 |00 39 19|+00 53.5|   13.00|   15.0|NGC  197 |+005328.3|003918.8|
|MCG+00-02-111 |00 39 28|+03 09.5|   10.00|   14.0|NGC  199 |+030928.1|003928.3|
|MCG+00-02-112 |00 39 28|+02 53.5|   15.00|   12.0|NGC  200 |+025328.1|003928.2|
|MCG+00-02-113 |00 39 34|+03 33.5|    8.00|   15.0|NGC  202 |+033328.1|003934.4|
|MCG+00-02-114 |00 39 34|+03 27.5|    8.00|   14.5|NGC  203 |+032728.1|003934.3|
|MCG+00-02-115 |00 39 34|+00 51.5|   17.00|   12.0|NGC  201 |+005128.1|003933.8|
|MCG+00-02-116 |00 39 40|+03 18.5|    8.00|   14.0|NGC  204 |+031828.0|003940.3|
|MCG+00-02-117 |00 39 57|-01 43.6|    7.00|   15.0|         |-014332.2|003957.3|
|MCG+00-02-118 |00 40 16|+02 45.5|    8.00|   15.0|NGC  208 |+024527.6|004016.2|
|MCG+00-02-119 |00 40 25|+03 15.5|   10.00|   15.0|         |+031527.4|004025.3|
|MCG+00-02-120 |00 40 34|+01 40.4|    4.00|   15.0|         |+014027.3|004034.0|
|MCG+00-02-121 |00 40 34|-00 18.5|   10.00|   13.0|IC 1571  |-001832.7|004033.6|
|MCG+00-02-122 |00 40 46|+02 51.5|    8.00|   15.5|         |+025127.2|004046.2|
|MCG+00-02-123 |00 40 49|-00 15.5|    4.00|   17.0|         |-001532.9|004048.6|
|MCG+00-02-124 |00 40 57|-01 37.6|    8.00|   14.5|         |-013733.0|004057.3|
|MCG+00-02-125 |00 41 21|-01 43.6|    9.00|   13.0|         |-014333.3|004121.3|
|MCG+00-02-126 |00 41 40|+01 10.4|    6.00|   15.0|         |+011026.5|004139.9|
|MCG+00-02-127 |00 41 46|-00 24.5|    5.50|   17.0|         |-002433.6|004145.6|
|MCG+00-02-128 |00 42 10|+00 54.4|    4.00|   16.0|NGC  219 |+005426.1|004209.8|
|MCG+00-02-129 |00 42 13|+00 51.4|    0.00|   14.0|NGC  223 |+005126.1|004212.8|
|MCG+00-02-130 |00 42 34|+02 45.4|   10.00|   15.0|         |+024525.8|004234.2|
|MCG+00-02-131 |00 42 33|-01 59.6|   11.00|   14.0|         |-015934.2|004233.2|
|MCG+00-02-132 |00 42 33|-02 00.6|    3.00|   14.0|         |-020034.2|004233.2|
|MCG+00-02-133 |00 42 40|+02 44.4|   10.00|   15.0|         |+024425.7|004240.2|
|MCG+00-02-134 |00 42 40|+00 16.4|    7.00|   15.0|         |+001625.7|004239.7|
